,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,salair,100,RU,1578449749,96,54.23,85.8,259.17,1.62
88,tiznit,0,MA,1578449749,37,29.7,-9.73,282.14,1.6
89,mareeba,75,AU,1578449749,83,-16.99,145.42,303.71,7.7
90,lavumisa,7,ZA,1578449750,97,-27.31,31.88,292.91,1.27
91,severo-kurilsk,73,RU,1578449192,83,50.68,156.12,267.51,7.44
92,panaba,64,MX,1578449750,62,21.28,-88.27,295.25,4.38
93,ilulissat,92,GL,1578449207,53,69.22,-51.1,254.15,5.7
94,redwater,90,CA,1578449188,92,53.95,-113.11,265.37,5.7
95,nizhniy odes,96,RU,1578449750,95,63.64,54.86,263.0,3.01
96,hirara,75,JP,1578449751,82,24.8,125.28,293.15,6.7
97,torbay,90,CA,1578449191,85,47.66,-52.73,268.15,3.1
98,semirara,86,PH,1578449751,84,12.07,121.4,299.42,9.92
99,soe,90,EE,1578449752,93,57.91,26.05,275.37,6.2
100,san jose,90,HN,1578449493,83,14.25,-87.96,294.15,8.2
101,cloquet,100,US,1578449752,59,46.72,-92.46,259.15,7.7
102,ialibu,100,PG,1578449752,82,-6.28,143.99,295.63,1.56
103,barrow,0,AR,1578449752,37,-38.31,-60.23,292.82,3.73
104,thompson,40,CA,1578449194,75,55.74,-97.86,246.15,2.6
105,kirkcudbright,100,GB,1578449753,77,54.84,-4.04,282.59,3.13
106,la romana,20,DO,1578449533,94,18.43,-68.97,299.15,2.56
107,san quintin,0,PH,1578449753,55,17.54,120.52,301.65,1.59
108,kargasok,94,RU,1578449753,99,59.06,80.87,254.9,2.05
109,atuona,21,PF,1578449753,73,-9.8,-139.03,300.63,6.75
110,fortuna,90,US,1578449098,100,40.6,-124.16,283.15,4.6
111,pisco,40,PE,1578449166,88,-13.71,-76.2,295.15,5.1
112,hobart,20,AU,1578449754,38,-42.88,147.33,297.59,5.7
113,stonewall,5,CA,1578449754,64,50.13,-97.33,254.26,4.6
114,hami,0,CN,1578449154,52,42.84,93.51,265.55,1.44
115,luderitz,94,NA,1578449754,93,-26.65,15.16,290.15,2.1
116,lebowakgomo,25,ZA,1578449755,63,-24.3,29.54,293.15,4.6
117,zhenhai,75,CN,1578449755,65,29.95,121.71,281.48,5.0
118,mahebourg,75,MU,1578449186,88,-20.41,57.7,299.15,1.0
119,quatre cocos,75,MU,1578449755,88,-20.21,57.76,299.15,2.38
120,lorengau,100,PG,1578449172,90,-2.02,147.27,299.18,6.39
121,santa cruz de la palma,20,ES,1578449755,59,28.68,-17.76,292.15,6.2
122,geraldton,90,CA,1578449205,64,49.72,-86.95,256.15,5.7
123,meulaboh,100,ID,1578449756,70,4.14,96.13,299.9,2.9
124,atambua,60,ID,1578449715,67,-9.11,124.89,301.53,2.54
125,anadyr,75,RU,1578449196,83,64.73,177.51,250.15,5.0
126,salinas,75,US,1578449520,76,36.67,-121.66,285.15,3.1
127,maniitsoq,100,GL,1578449182,96,65.42,-52.9,253.97,4.67
128,ternate,20,PH,1578449249,74,14.29,120.72,302.04,2.6
129,buchanan,20,LR,1578449193,94,5.88,-10.05,296.15,1.49
130,san patricio,0,PY,1578449757,32,-26.98,-56.83,296.17,2.11
131,cape town,75,ZA,1578449168,94,-33.93,18.42,293.71,3.1
132,mao,40,DO,1578449758,83,19.55,-71.08,297.15,2.1
133,morondava,0,MG,1578449758,86,-20.3,44.28,298.1,0.41
134,vengerovo,100,RU,1578449758,97,55.68,76.74,258.6,1.74
135,vaini,75,IN,1578449758,100,15.34,74.49,290.15,1.49
136,norman wells,20,CA,1578449186,71,65.28,-126.83,229.15,1.0
137,lompoc,1,US,1578449180,71,34.64,-120.46,287.15,1.5
138,provideniya,0,RU,1578449759,91,64.42,-173.23,248.83,0.39
139,pasni,0,PK,1578449759,29,25.26,63.48,288.34,12.4
140,bay roberts,90,CA,1578449676,85,47.58,-53.28,268.15,3.1
